,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,80260,https://www.airbnb.com/rooms/80260,20240610195007,2024-06-13,previous scrape,Nice studio in Jourdain's village,,,https://a0.muscache.com/pictures/716553/6c14f251_original.jpg,333548,https://www.airbnb.com/users/show/333548,Charlotte,2011-01-03,"Paris, France","My name is Charlotte, I'm 26 and I study cinema production. I'll be gone the whole year to study in Grenoble and that's my father Jean Luc, who will keep an eye on my little studio and take care of you. 
",,,,f,https://a0.muscache.com/im/users/333548/profile_pic/1350320876/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/333548/profile_pic/1350320876/original.jpg?aki_policy=profile_x_medium,Buttes-Chaumont - Belleville,1.0,1.0,"['email', 'phone']",t,t,,Ménilmontant,,48.87131,2.38848,Entire rental unit,Entire home/apt,3,,1 bath,1.0,,"[""Hangers"", ""Essentials"", ""Wifi"", ""Dishes and silverware"", ""Dedicated workspace"", ""Hair dryer"", ""Kitchen"", ""Shampoo"", ""Pets allowed"", ""Heating""]",,2,730,2,2,730,730,2.0,730.0,,t,0,0,0,0,2024-06-13,206,0,0,2011-04-18,2021-10-03,4.63,4.61,4.75,4.85,4.78,4.61,4.64,7512005340473,f,1,1,0,0,1.29
1,3109,https://www.airbnb.com/rooms/3109,20240610195007,2024-06-12,city scrape,zen and calm,"Lovely Appartment with one bedroom with a Queen size bed.<br />Calm et bright<br />Sheets and towels furnished<br />4th floor, no elevator",Good restaurants<br />very close the Montparnasse Station<br />15 m from the center of Paris,https://a0.muscache.com/pictures/miso/Hosting-3109/original/50c69430-6385-413b-8a65-f6c022912301.jpeg,3631,https://www.airbnb.com/users/show/3631,Anne,2008-10-14,"Paris, France",,,,80%,f,https://a0.muscache.com/im/users/3631/profile_pic/1375800198/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3631/profile_pic/1375800198/original.jpg?aki_policy=profile_x_medium,Alésia,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Observatoire,,48.83191,2.3187,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,0.0,"[""Smart lock"", ""Smoke alarm"", ""Cooking basics"", ""Hangers"", ""Wifi"", ""Dishes and silverware"", ""Hair dryer"", ""Children\u2019s books and toys"", ""Kitchen"", ""Washer"", ""Paid parking off premises"", ""Hot water"", ""Luggage dropoff allowed"", ""Self check-in"", ""Iron""]",$250.00,2,30,2,2,30,30,2.0,30.0,,t,29,45,75,349,2024-06-12,4,0,0,2017-10-28,2019-10-24,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7511409139079,t,1,1,0,0,0.05
2,80301,https://www.airbnb.com/rooms/80301,20240610195007,2024-06-13,city scrape,toits de Paris,"On the top,sharing my space,you have your bedroom,your shower and  toilet.YOu can use th kitchen and have some space in the fridge and cabinet.<br />Non-smoker.<br />YOu are walking distance to many monuments(Sorbonne,Pantheon,jardin du Luxembourg et Plantes.Notre Dame,Mosquee for mint the).Of course rue MOuffetard...","SAFE neighborhood,late bus and subway,velibe(bicycle) Mouffetard and the ambiance.or Sunday morning,sing along in FRench on bottom rue Mouffetard.Bus 21and 27 at your feet for sightseeing,walking to  rue  Mouffettard,mosquee ,jardins Luxembourg et des plantes.20 minutes to Notre Dame..Bus 91 for Montparnasse and gare de Lyon..Metro Censier le plus pres.Pres du RER Luxembourg for aeroports...and gare du Nord.<br />Station Velib(bicycles) and autolib as well.<br />You have a bakery just across the street,and every thing you want in food rue Mouffetrard.restaurants and bars....I will help you if needed.",https://a0.muscache.com/pictures/742354/2e66b9c8_original.jpg,433758,https://www.airbnb.com/users/show/433758,Genevieve,2011-03-10,"Paris, France"," Doctorat Sorbonne 1,Litterature sciences humaines,Arts Plastiques, Paris DEscartes tProf de gym...musique danse art therapie.../DUECDF Paris Sorbonne 3.Dipome americains Biofeedback/Acupunsture  prof de yoga,gym, danseuse , artiste sur verre.
Parle Francais, Espagnol,Anglais,un peu l'Allemand.
Parfois du retard pour repondre car je voyage( Air France)Bienvenus chez vous  ",within an hour,100%,27%,t,https://a0.muscache.com/im/users/433758/profile_pic/1330955021/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/433758/profile_pic/1330955021/original.jpg?aki_policy=profile_x_medium,Port-Royal,2.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Panthéon,,48.83918,2.34699,Private room in rental unit,Private room,1,1.5,1.5 baths,1.0,1.0,"[""Stove"", ""Host greets you"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Refrigerator"", ""Microwave"", ""Washer"", ""Pocket wifi"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Wifi"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Dishwasher"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Heating"", ""Hot water"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Private patio or balcony"", ""Bed linens""]",$60.00,30,190,30,30,190,190,30.0,190.0,,t,11,12,12,145,2024-06-13,42,1,0,2011-06-15,2023-09-02,4.83,4.79,4.57,4.89,5.0,4.95,4.74,7510500029543,f,2,1,1,0,0.27
3,5396,https://www.airbnb.com/rooms/5396,20240610195007,2024-06-13,city scrape,Your perfect Paris studio on Île Saint-Louis,"NEW SOFA-BED SINCE JUNE 2023, Please disregard reviews about the old one.<br /><br />Cozy, well-appointed and graciously designed studio apartment that mixes old and new aesthetics at the very heart of Paris, on the famous Isle St Louis that is a stone's throw from Le Marais, Quartier Latin, Notre Dame and Le Louvre.","You are within walking distance to the Louvre, Notre Dame, Le Marais, Les Halles, Chatelet, St. Germain, Les Tuileries, le Jardin des Plantes, St. Michel, Sorbonne, Institut du Monde Arab, the Bastille and the Latin Quarter. <br />",https://a0.muscache.com/pictures/52413/f9bf76f5_original.jpg,7903,https://www.airbnb.com/users/show/7903,Borzou,2009-02-14,"Paris, France","We have spent a lot of time traveling for work and leisure. We understand what people need when they're away from home. Guillaume and his partners manage arrivals and checkins, adding a friendly touch to every visitor. We all genuinely love Paris and try to make it easy for people to come and visit the city.",within an hour,100%,95%,f,https://a0.muscache.com/im/users/7903/profile_pic/1280002723/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7903/profile_pic/1280002723/original.jpg?aki_policy=profile_x_medium,Saint-Paul - Ile Saint-Louis,2.0,4.0,"['email', 'phone']",t,t,Neighborhood highlights,Hôtel-de-Ville,,48.85247,2.35835,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Stove"", ""Host greets you"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Refrigerator"", ""Washer"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Clothing storage: closet"", ""First aid kit"", ""Cleaning products"", ""Baking sheet"", ""Toaster"", ""Hangers"", ""Dishes and silverware"", ""Coffee"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Long term stays allowed"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""Iron"", ""Smoke alarm"", ""Hot water kettle"", ""Essentials"", ""Drying rack for clothing"", ""Hair dryer"", ""Shampoo"", ""Coffee maker: espresso machine, pour-over coffee"", ""Portable fans"", ""Body soap"", ""Books and reading material"", ""Bed linens"", ""Wine glasses""]",$96.00,2,1125,1,2,1125,1125,1.0,1125.0,,t,13,36,66,154,2024-06-13,403,64,2,2009-06-30,2024-05-24,4.61,4.63,4.58,4.81,4.84,4.96,4.59,7510402838018,f,1,1,0,0,2.21
4,7397,https://www.airbnb.com/rooms/7397,20240610195007,2024-06-13,city scrape,MARAIS - 2ROOMS APT - 2/4 PEOPLE,"VERY CONVENIENT, WITH THE BEST LOCATION !",,https://a0.muscache.com/pictures/67928287/330bd78c_original.jpg,2626,https://www.airbnb.com/users/show/2626,Franck,2008-08-30,"Paris, France","I am a writer,54, author of novels, books of linguistics...",within an hour,100%,68%,t,https://a0.muscache.com/im/pictures/user/ad6a9447-d6fa-4b6b-a820-1c5b52cd5359.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ad6a9447-d6fa-4b6b-a820-1c5b52cd5359.jpg?aki_policy=profile_x_medium,Le Marais,3.0,9.0,"['email', 'phone']",t,t,,Hôtel-de-Ville,,48.85909,2.35315,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,1.0,"[""Stove"", ""Host greets you"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Dryer"", ""Coffee maker"", ""Hangers"", ""Dishes and silverware"", ""Kitchen"", ""Oven"", ""Heating"", ""Hot water"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""Shampoo"", ""Bed linens""]",$160.00,10,130,7,12,130,130,10.0,130.0,,t,9,19,31,277,2024-06-13,354,21,1,2011-04-08,2024-05-20,4.73,4.8,4.45,4.92,4.89,4.93,4.73,7510400829623,f,3,3,0,0,2.21
5,80327,https://www.airbnb.com/rooms/80327,20240610195007,2024-06-12,city scrape,PETIT APPARTEMENT PARIS 18,,,https://a0.muscache.com/pictures/67eca081-2478-4b1e-9935-4891d758a73f.jpg,228508,https://www.airbnb.com/users/show/228508,Isabelle,2010-09-08,"Paris, France","- - - - Love to travel , meet new people ... - - - -",within an hour,100%,100%,f,https://a0.muscache.com/im/users/228508/profile_pic/1284123543/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/228508/profile_pic/1284123543/original.jpg?aki_policy=profile_x_medium,La Chapelle,1.0,2.0,"['email', 'phone']",t,t,,Buttes-Montmartre,,48.88912,2.36154,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Stove"", ""Air conditioning"", ""Refrigerator"", ""Microwave"", ""Paid parking off premises"", ""Elevator"", ""Patio or balcony"", ""Cooking basics"", ""Wifi"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Hangers"", ""Dishes and silverware"", ""Kitchen"", ""Long term stays allowed"", ""Heating"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo""]",$48.00,4,60,4,4,60,60,4.0,60.0,,t,16,40,70,140,2024-06-12,278,0,0,2011-03-22,2018-12-23,4.73,4.78,4.81,4.93,4.88,4.14,4.7,7511813185255,f,1,1,0,0,1.73
6,7964,https://www.airbnb.com/rooms/7964,20240610195007,2024-06-13,city scrape,Sunny apartment with balcony,"We are renting our a spacious, sunny fully furnished apartment located on a pedestrian street in vibrant neighborhood.<br />Ideal for a couple or a family with a young child.<br /><br />Central location, walking distance to many attractions. <br />-  Nice living room (wifi & TV)<br />-  Master bedroom<br />- Child bedroom<br />- Bathroom with shower and bathtub<br />- Fully furnished kitchen (dishwasher, washing machine & dryer)<br />- Long balcony<br />- Central location & walking distance to many attractions.<br />- Bed linen & towels provided",,https://a0.muscache.com/pictures/miso/Hosting-7964/original/08a6f2fa-0963-42b5-a5d2-0047f04a5db4.jpeg,22155,https://www.airbnb.com/users/show/22155,Anaïs,2009-06-18,"Paris, France","Hello ! 
Our apartment is great and I am sure you will love it ! I will be happy to share with you tips and my favourites places to make your stay super nice.",,,11%,f,https://a0.muscache.com/im/pictures/user/975c3587-7e98-490e-a35e-b39ed09b8355.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/975c3587-7e98-490e-a35e-b39ed09b8355.jpg?aki_policy=profile_x_medium,Gare du Nord - Gare de I'Est,1.0,1.0,['phone'],t,t,,Opéra,,48.87417,2.34245,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,"[""Stove"", ""Outdoor dining area"", ""Sound system"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Dining table"", ""Refrigerator"", ""Microwave"", ""Outdoor furniture"", ""Bathtub"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""Free washer \u2013 In unit"", ""Clothing storage: closet"", ""Cleaning products"", ""Baking sheet"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Changing table"", ""Dishwasher"", ""Hangers"", ""Pack \u2019n play/Travel crib"", ""Dishes and silverware"", ""Coffee"", ""Kitchen"", ""Oven"", ""Room-darkening shades"", ""Cleaning available during stay"", ""Heating"", ""Hot water"", ""Iron"", ""Hot water kettle"", ""Sun loungers"", ""Essentials"", ""Children\u2019s books and toys for ages 0-2 years old and 2-5 years old"", ""Drying rack for clothing"", ""Hair dryer"", ""Private patio or balcony"", ""Books and reading material"", ""Coffee maker: french press"", ""Bed linens"", ""Wine glasses"", ""Freezer""]",$180.00,7,365,7,7,365,365,7.0,365.0,,t,0,12,32,32,2024-06-13,5,0,0,2010-05-10,2015-09-14,4.8,5.0,5.0,5.0,5.0,5.0,5.0,7510903576564,f,1,1,0,0,0.03
7,9359,https://www.airbnb.com/rooms/9359,20240610195007,2024-06-12,city scrape,"Cozy, Central Paris: WALK or VELIB EVERYWHERE !","Location! Location! Location! Just bring your toothbrush to this charmingly restored cheerful one bedroom in the center of the city. Exposed beams, facing an interior courtyard, walk to the wonderful rue Montorgeuil market: what else could you want? Brand new renovation, electricity upgrade and new carpet this year. Prefer to rent for a minimum of 6 MONTHS (one year is preferred). Monthly rent discount is 1600 euros.",,https://a0.muscache.com/pictures/c2965945-061f-4ad8-a547-d617e5781827.jpg,28422,https://www.airbnb.com/users/show/28422,Bernadette,2009-07-29,"New York, NY","I am a Native New Yorker (yes, I was born and raised here!) and have lived in Boston, Paris and Los Angeles and speak a bit of French and Spanish and about two words of Italian. I work in the legal field. I went to culinary school to study pastry many years ago and now I just bake cookies at Christmas when I have the time!

I have traveled to over 60 countries, go away to my house in Pennsylvania on many weekends and like meeting new people. 

As to the listings on AIRBNB: I have one ""Supersize Studio"" on the Upper East Side, which is a walk-up and has no doorman and I do not live there. The building is approximately 50 years old. The entire apartment is at your disposal. There is a queen sized bed, a table and chairs and it is perfect for a sole occupant needing a home-away-from-home. It is in Yorkville, home of the old Austrian and Hungarian and German bakeries, long gone. On Saturdays, at Saint Stephen's, which is opposite the apartment, there is a market which is wonderful. Otherwise, you have more than enough small cute places  to eat and hang out and if you are a couple of young single people, all the bars and restaurants you might want to go to until closing are on Second Avenue, one block over. This apartment is a very large studio with high ceilings and faces north to a garden, which is quiet. It comes with linens and dishes and has a small kitchen. There is a $60 cleaning fee and a $500security deposit required. AIRBNB collects the security and I ask you pre-pay the cleaning fee on arrival in cash.

So as to avoid confusion, the second listing, ""Paris in New York"" location is my home and about which I speak below and this is the apartment which has been reviewed the most. I no longer allow it to be rented.

I traveled to Europe the first time on my own via SERVAS many years ago and have not forgotten the kindness of the people I met then. I hope to reciprocate and make new friends!

Please contact me if you are interested in staying at one of my places. You MUST be a non-smoker but smoking is allowed in front of the building outside if you are desperate.

Please have your profile here. It is easier if I know  something about who you are, where you live and what you do. If I don't know something about you, it's hard for me to answer a request to stay quickly, since I like to have a level of comfort renting.

I've known one friend who lives in Abu Dhabi who I met via SERVAS over 30 years now. I expect to know my AirBNB guests just as long!

Thanks for your interest!

As to the other listings: the apartment in Paris (Chatelet) is not available again until 2015.  It is rented a minimum of six months. The apartment in Hossegor, in the Southwest of France, is available off-season each year from October until May. 

The Victorian house in northeast Pennsylvania is available on select weeks if you are interested in skiing at Elk Mountain, which is 20 minutes up the hill on Route 106 from Carbondale.

Just ask me!


",,,,f,https://a0.muscache.com/im/users/28422/profile_pic/1319547089/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/28422/profile_pic/1319547089/original.jpg?aki_policy=profile_x_medium,Châtelet - Les Halles - Beaubourg,2.0,4.0,"['email', 'phone']",t,t,,Louvre,,48.86006,2.34863,Entire rental unit,Entire home/apt,1,1.0,1 bath,1.0,1.0,"[""Wifi"", ""Essentials"", ""Dedicated workspace"", ""Hair dryer"", ""Kitchen"", ""Heating"", ""Elevator""]",$75.00,180,360,180,180,360,360,180.0,360.0,,t,23,53,83,358,2024-06-12,0,0,0,,,,,,,,,,"Available with a mobility lease only (""bail mobilité"")",f,1,1,0,0,
8,81033,https://www.airbnb.com/rooms/81033,20240610195007,2024-06-13,city scrape,Marais Luxe  High Ceiling 1 Br BAIL MOBILITE,"This 38 square meters 1bed apartment in Paris  is situated on the first floor of a 17th century building. Completeley renovated and fully furnished, this authentic Parisian apartment will provide you all the comfort you need for your stay","In the center of the Marais . Great parisian lifestyle !<br />5 minutes walking distance from...<br />Museum, monument: Hotel de Ville, Picasso Museum, Carnavalet Museum",https://a0.muscache.com/pictures/3307663/e4e959f4_original.jpg,438828,https://www.airbnb.com/users/show/438828,Polo,2011-03-13,"Paris, France","Je trouve un réel plaisir à accueillir mes hôtes et de leur faire partagé le plaisir de vivre à la française.
Ayant vécu dans différents quartiers ( Trocadéro, Saint-Germain), j'habite actuellement dans le Marais.
Les appartements se situant principalement dans ce quartier. Coeur historique de Paris, il regorge de richesses hors des parcours touristiques.
J'adore les faire découvrir à mes hôtes et partager avec eux leurs propres découvertes.  

Quand je voyage j'apprécie toujours d'avoir rapidement mes repères dans la ville afin de me sentir à l'aise comme si j'y habitais.
C'est pourquoi j'apporte une attention toute particulière à faciliter le séjour de mes hôtes afin qu'ils puissent se sentir totalement chez eux. 

Passionné d'art contemporain, je collectionne et je m'implique beaucoup dans la galerie d'une amie. Cela m'amène à me rendre dans de nombreuse Art Fairs à travers le monde.

Aucune occasion n'est à manquer pour se faire de nouveaux amis !
",within an hour,100%,98%,f,https://a0.muscache.com/im/users/438828/profile_pic/1432277431/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/438828/profile_pic/1432277431/original.jpg?aki_policy=profile_x_medium,Le Marais,6.0,7.0,"['email', 'phone']",t,t,Neighborhood highlights,Hôtel-de-Ville,,48.85844,2.35694,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"[""Stove"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Dining table"", ""Refrigerator"", ""Microwave"", ""Washer"", ""Luggage dropoff allowed"", ""Cooking basics"", ""Wifi"", ""Clothing storage: closet"", ""Baking sheet"", ""Coffee maker"", ""Toaster"", ""Hangers"", ""Dishes and silverware"", ""Kitchen"", ""Long term stays allowed"", ""Cleaning available during stay"", ""Heating"", ""Fire extinguisher"", ""Hot water"", ""Laundromat nearby"", ""Iron"", ""Smoke alarm"", ""Hot water kettle"", ""Essentials"", ""Drying rack for clothing"", ""Hair dryer"", ""Mini fridge"", ""Portable fans"", ""Books and reading material"", ""Bed linens"", ""Wine glasses""]",$255.00,30,300,30,30,1125,1125,30.0,1125.0,,t,14,14,24,299,2024-06-13,81,0,0,2011-03-23,2020-04-04,4.78,4.8,4.65,4.91,4.93,4.96,4.81,"Available with a mobility lease only (""bail mobilité"")",t,4,4,0,0,0.5
9,9952,https://www.airbnb.com/rooms/9952,20240610195007,2024-06-12,city scrape,Paris petit coin douillet,"I am a retired lady, who offers a nice little apartment located between Bastille and  Republic.<br />You can easily discover markets, tourist places, the canal covered from Bastille to Parc de la Villette..<br />My neighborhood is close to the Marais , Place des Vosges with its gardens for relaxation as well as many restaurants","Vibrant neighborhood, full of bars, cafés, fresh markets, and traditional restaurants.<br />The flat is located near the Marais area, Republique and Bastille.",https://a0.muscache.com/pictures/ae822d16-74d2-4e8a-a157-16b0fdf1fa8a.jpg,33534,https://www.airbnb.com/users/show/33534,Elisabeth,2009-08-24,"Paris, France","Parisienne retraitée, dynamique et accueillante, Elisabeth vous attend dans son petit nid au coeur des quartiers animés de Bastille et de République plein de restaurants traditionnels .Vous y serez ""at home"" avec toutes les facilités pour un séjour ""cosy"".
A deux pas du Marais, vous pourrez le parcourir à pied facilement, de belles promenades en perspective....

Elisabeth, a retired and dynamic true parisian, welcomes you in her ""nest"" in the Bastille and République busy area, full of traditonal restaurants. You will feel at home in her cosy place. Within a walking distance from the Marais district, a lot of lovely walks to enjoy...",within a few hours,100%,100%,f,https://a0.muscache.com/im/pictures/user/4f775bb4-9080-4943-aa57-d516708aec81.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4f775bb4-9080-4943-aa57-d516708aec81.jpg?aki_policy=profile_x_medium,République,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Popincourt,,48.86373,2.37093,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"[""Stove"", ""Host greets you"", ""Extra pillows and blankets"", ""Dining table"", ""Refrigerator"", ""Central heating"", ""Microwave"", ""Paid parking off premises"", ""Luggage dropoff allowed"", ""Monsavon body soap"", ""Cooking basics"", ""Wifi"", ""Dedicated workspace"", ""First aid kit"", ""Cleaning products"", ""Clothing storage: wardrobe"", ""Baking sheet"", ""Coffee maker"", ""Hangers"", ""Dishes and silverware"", ""Coffee"", ""Shower gel"", ""Kitchen"", ""Oven"", ""Room-darkening shades"", ""Hot water"", ""Iron"", ""Smoke alarm"", ""Essentials"", ""Hair dryer"", ""TV"", ""Shampoo"", ""Portable fans"", ""Books and reading material"", ""Bed linens"", ""Single level home"", ""Freezer""]",$169.00,4,31,4,4,31,31,4.0,31.0,,t,4,4,7,105,2024-06-12,51,4,1,2013-03-19,2024-05-23,4.92,4.98,4.88,4.98,4.86,4.86,4.9,7511101582862,f,1,1,0,0,0.37
